Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
Fearful,(0.1/ 1.1/ -0.3), (0.0/ 1.3/ -0.6), (-0.1/ 0.1/ -0.3), (-0.3/ 0.1/ -0.2), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.9184
