Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226

CAMINO 2
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
