Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------

CAMINO 2
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658

CAMINO 1
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658

CAMINO 2
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
Disgusted,(1.3/ 1.4/ 0.9), (0.9/ 1.1/ 0.5), (1.1/ 0.1/ 0.9), (1.1/ 0.1/ 0.8), (1.1/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.06658
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 51,22 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
